id,year,state_name,state_code,district_name,district_code,registration_circles,male_below_12_years,male_12_years_to_16_years,male_16_years_to_18_years,male_children,male_18_years_and_above,female_below_12_years,female_12_years_to_16_years,female_16_years_to_18_years,female_children,female_18_years_and_above,transgender_below_12_years,transgender_12_years_to_16_years,transgender_16_years_to_18_years,transgender_children,transgender_18_years_and_above
1809,2022,Jammu And Kashmir,1,Kupwara,8,Handwara,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
1810,2022,Jammu And Kashmir,1,Jammu,5,Jammu,0,0,0,0,393,0,0,0,0,256,NaN,NaN,NaN,NaN,NaN
1811,2022,Jammu And Kashmir,1,Kathua,7,Kathua,2,4,4,10,35,10,5,29,44,164,NaN,NaN,NaN,NaN,NaN
1812,2022,Jammu And Kashmir,1,Kishtwar,620,Kishtwar,2,2,0,4,11,0,0,0,0,40,NaN,NaN,NaN,NaN,NaN
1813,2022,Jammu And Kashmir,1,Kulgam,622,Kulgam,0,0,0,0,26,1,0,0,1,15,NaN,NaN,NaN,NaN,NaN
1814,2022,Jammu And Kashmir,1,Kupwara,8,Kupwara,2,3,0,5,31,0,0,0,0,67,NaN,NaN,NaN,NaN,NaN
1815,2022,Jammu And Kashmir,1,Poonch,10,Poonch,1,2,1,4,22,1,0,0,1,101,NaN,NaN,NaN,NaN,NaN
1816,2022,Jammu And Kashmir,1,Pulwama,11,Pulwama,0,0,0,0,41,0,0,0,0,19,NaN,NaN,NaN,NaN,NaN
1817,2022,Jammu And Kashmir,1,Jammu,5,Railways Jammu,0,0,1,1,6,0,0,0,0,2,NaN,NaN,NaN,NaN,NaN
1818,2022,Jammu And Kashmir,1,Jammu,5,Railways Kashmir,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
1819,2022,Jammu And Kashmir,1,Reasi,627,Railways Katra,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
1820,2022,Jammu And Kashmir,1,Rajouri,12,Rajouri,0,2,0,2,33,0,1,1,2,116,NaN,NaN,NaN,NaN,NaN
1821,2022,Jammu And Kashmir,1,Ramban,621,Ramban,0,3,5,8,6,0,9,24,33,12,NaN,NaN,NaN,NaN,NaN
1822,2022,Jammu And Kashmir,1,Reasi,627,Reasi,0,2,3,5,51,0,10,13,23,85,NaN,NaN,NaN,NaN,NaN
1823,2022,Jammu And Kashmir,1,Samba,624,Samba,0,0,4,4,45,2,2,19,23,97,NaN,NaN,NaN,NaN,NaN
1824,2022,Jammu And Kashmir,1,Shopian,625,Shopian,0,0,4,4,19,0,7,9,16,13,NaN,NaN,NaN,NaN,NaN
1825,2022,Jammu And Kashmir,1,Baramulla,3,Sopore,0,3,0,3,0,0,0,7,7,8,NaN,NaN,NaN,NaN,NaN
1826,2022,Jammu And Kashmir,1,Srinagar,13,Srinagar,1,9,2,12,186,0,4,7,11,130,NaN,NaN,NaN,NaN,NaN
1827,2022,Jammu And Kashmir,1,Udhampur,14,Udhampur,2,2,4,8,68,2,10,20,32,105,NaN,NaN,NaN,NaN,NaN
1828,2022,Jammu And Kashmir,1,Jammu,5,Cyber Crime Jammu,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
1829,2022,Jammu And Kashmir,1,Jammu,5,Cyber Crime Kashmir,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
1830,2022,Jammu And Kashmir,1,Jammu,5,Anti Narcotic Task Force Jammu,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
1831,2022,Jammu And Kashmir,1,Srinagar,13,Anti Narcotic Task Force Kashmir,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
1832,2022,Jammu And Kashmir,1,Jammu,5,Eow Jammu,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
1833,2022,Jammu And Kashmir,1,Srinagar,13,Eow Kashmir,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
1834,2022,Jammu And Kashmir,1,Jammu,5,Cice Jammu,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
1835,2022,Jammu And Kashmir,1,Jammu,5,Cice Kashmir,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
1836,2022,Ladakh,37,Kargil,6,Kargil,0,0,0,0,5,0,0,0,0,2,NaN,NaN,NaN,NaN,NaN
1837,2022,Ladakh,37,Leh Ladakh,9,Leh,0,0,0,0,11,0,0,0,0,5,NaN,NaN,NaN,NaN,NaN
1838,2022,Lakshadweep,31,Lakshadweep District,553,Lakshadweep,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
1839,2022,Puducherry,34,Karaikal,598,Karaikal,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
1840,2022,Puducherry,34,Pondicherry,600,Puducherry,4,3,7,14,77,3,7,14,24,134,NaN,NaN,NaN,NaN,NaN
